year,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
1961,11.55,11.65,13.3,15.33,17.58,20.88,24.54,25.1,22.11,17.67,14.51,11.49
1962,10.72,11.14,13.2,15.39,17.29,20.98,24.08,24,22.07,18.53,14.15,12.09
1963,11.04,11.98,12.66,15.34,17.69,21.49,24.17,24.35,21.68,17.79,14.27,11.36
1964,11.29,10.16,12.75,15.66,17.98,20.72,23.46,24.14,22.6,17.64,14.5,11.43
1965,10.74,10.72,13.01,14.73,17.54,21.76,24.02,24.85,22.1,18.13,14.66,12.12
1966,10.63,10.6,12.98,15.04,18.31,21.85,23.98,24.45,21.76,18.19,14.21,12.08
1967,11.66,11.62,13.16,15.93,18.61,21.27,24.03,24.75,22.6,18.58,14.26,11.57
1968,11,11.91,14.34,14.95,18.58,22.42,24.55,25.15,22.53,18.8,15.39,11.98
1969,10.28,11.06,12.65,15.37,17.5,20.57,23.29,23.92,22.09,18.9,13.88,11.77
1970,10.41,11.59,13.01,15.62,18.34,21.72,24.05,24.63,22.24,18.51,14.1,11.87
1971,11.35,10.45,12.75,14.86,18.02,20.9,23.53,24.36,22.62,18.78,13.88,11.96
1972,11.66,11.94,13.33,15.18,17.69,21.35,24.23,24.22,21.69,18.54,14.71,11.34
1973,10.32,12.05,13.33,15.29,17.97,21.45,24.46,24.81,22.58,19.11,14.36,11.32
1974,10.27,11.92,13.26,16.22,18.02,21.24,24.02,24.68,22.4,18.25,13.67,12.05
1975,10.88,12.41,13.05,15.4,18.03,21.06,24.5,24.57,21.66,18.69,14.32,11.43
1976,11.3,11.86,13.37,14.86,17.83,21.44,24.22,24.47,22.23,18.59,14.75,12.88
1977,10.98,11.25,13.08,15.33,17.6,21.86,24.25,24.64,22.33,19.03,15.81,12.37
1978,10.94,11.58,14.26,15.86,18.35,21.52,24.3,24.23,22.28,18.88,14.03,11.92
1979,10.27,11.19,13.02,14.9,17.86,21.54,24.52,24.6,22.74,18.85,13.83,11.59
1980,10.55,10.89,13.06,15.3,17.64,21.7,24.32,24.97,22.62,18.16,13.24,11.74
1981,9.99,11.58,13.07,15.29,17.65,21.38,24.12,24.1,21.52,17.84,14.14,11.62
1982,10.49,11.21,12.74,15.26,18.06,21.32,24.57,24.5,21.89,18.95,14.65,12.06
1983,11.39,11.96,14.01,15.77,17.95,21.11,24.24,24.77,21.87,18.18,14.62,10.9
1984,10.43,11.79,12.92,14.8,17.59,21.04,24.1,23.92,21.85,18.25,14.25,11.73
1985,10.45,10.96,13.22,15.17,17.5,22.24,24.18,24.92,22.61,18.56,14.57,11.71
1986,10.92,11.43,13.57,14.83,17.66,21.65,24.32,24.97,21.9,18.7,14.19,12.09
1987,10.63,12.44,13.51,14.39,18.55,22.43,24.52,24.64,23.05,18.95,13.83,11.61
1988,11.65,11.65,13.98,15.51,17.46,21.79,24.36,24.67,22.78,18.73,15.03,11.74
1989,10.81,10.57,12.77,15.31,17.65,21.92,23.83,24.74,22.65,18.5,14.65,11.99
1990,10.98,11.91,13.58,15.37,18.58,21.5,24.25,24.91,22.64,18.7,15.09,12.38
1991,10.87,11.5,12.83,14.96,17.9,21.65,24.22,24.65,22.49,18.87,14.93,12.01
1992,10.66,11.58,13.21,15.55,18.08,21.51,24.18,25.02,22.14,18.54,15,12.19
1993,10.91,12.19,13.81,15.25,18.12,22.26,24.62,24.78,23.09,19.43,15,11.87
1994,11.74,11.93,12.73,15.17,17.98,21.99,24.6,25.01,23.35,19.27,15.15,11.59
1995,11.45,11.41,13.35,15.53,18.13,21.9,24.44,25.52,22.18,19.4,14.69,11.61
1996,10.67,11.9,13.06,15.07,18.32,21.39,24.65,25.21,22.5,19.14,14.71,12.33
1997,10.89,11.74,12.65,16.13,18.83,21.47,24.51,25.51,22.88,19.05,15.74,11.98
1998,12.2,12.01,13.05,15.47,17.84,21.75,24.18,24.94,22.81,18.97,14.43,11.17
